"original_park","matched_park","similarity"
"grand army plaza","grand army plaza",1
"grand central parkway extension","grand central parkway extension",1
"gravesend park","gravesend park",1
"great kills park","great kills park",1
"great kills veterans playground","great kills veterans playground",1
"greeley square park","greeley square park",1
"green central knoll","green central knoll",1
"green street","green gems",0.780555555555556
"green street arthur kill and woodrow road",NA,NA
"green street at intersection of 120th street and marsden avenue",NA,NA
"greenbelt native plant center","greenbelt native plant center",1
"greenbelt nature center","greenbelt native plant center",0.847314438019086
"greenbelt recreation center","greenbelt native plant center",0.782054259065753
"greenbelt white trail","greenbelt native plant center",0.761129355956942
"greencroft playground","greencroft playground",1
"greenstreet across 269 cambridge avenue",NA,NA
"greenstreets between pacific avenue and beach road",NA,NA
"grover cleveland playground","grover cleveland playground",1
"gun hill playground","gun hill playground",1
"haffen park","haffen park",1
"haggerty park","haggerty park",1
"hallets cove park","hallets cove playground",0.878942881500426
"hallets cove playground","hallets cove playground",1
"hamilton fish park","hamilton fish park",1
"hamilton fish recreation center","hamilton fish park",0.780839307048984
"hands and heart community garden","6th st and ave b community garden",0.788545173961841
"harding park","harding park",1
"harlem river park","harlem river park",1
"harris park","harris park",1
"harry maze playground","harry maze playground",1
"hart island","hart island",1
"harvey park","harvey park",1
"henry chapin playgorund","harry chapin playground",0.894409937888199
"henry hudson park","henry hudson park",1
"herbert von king park","herbert von king park",1
"hero park","hero park",1
"hester st. playground","chester playground",0.917989417989418
"high bridge park recreation center basement",NA,NA
"high line","the high line",0.823361823361823
"high line park","city line park",0.857142857142857
"high rock park","high rock park",1
"highbridge park","highbridge park",1
"highbridge recreation center","highbridge park",0.751343101343101
"highland park","highland park",1
"highline",NA,NA
"highline park","hines park",0.864102564102564
"hill street community garden","java street community garden",0.904761904761905
"hines park","hines park",1
"hinton park","hinton park",1
"historic richmond town",NA,NA
"historic richmondtown",NA,NA
"hoffman park","hoffman park",1
"holocaust memorial park","father macris park",0.778180354267311
"holy cow playground","holy cow playground",1
"homecrest playground","homecrest playground",1
"hoover - manton playgrounds","hoover - manton playgrounds",1
"horace harding playground","horace harding playground",1
"hot spot tot lot","hot spot tot lot",1
"hoyt playground","hoyt playground",1
"hudson park","seton park",0.842424242424242
"hudson river park","hutchinson river parkway",0.806781045751634
"hudson yards",NA,NA
"hudson yards entrance to highline park",NA,NA
"hunter's point south park","hunter's point south park",1
"hunts point playground","hunts point playground",1
"hutchinson river parkway","hutchinson river parkway",1
"hylan boulevard and ithaca street",NA,NA
"idlewild park","idlewild park",1
"industrial park","central park",0.833333333333333
"ingram woods","ingram woods",1
"inwood hill park","inwood hill park",1
"irving square park","irving square park",1
"isham park","isham park",1
"j hood wright park","j. hood wright park",0.982456140350877
"j. hood wright park","j. hood wright park",1
"j. hood wright recreation center","j. hood wright park",0.7890544375645
"j.j. byrne playground","century playground",0.804761904761905
"jackie robinson park","jackie robinson park",1
"jackie robinson recreation center","jackie robinson community garden",0.815510878010878
"jackson pond playground","john hancock playground",0.83804347826087
"jacob h. schiff playground","jacob h. schiff playground",1
"jacob joffe fields","jacob joffe fields",1
"jacob riis beach","jacob riis triangle",0.806595816464238
"jacob's ladder playground","jacob's ladder playground",1
"jaime campiz playground","jaime campiz playground",1
"jamaica gateway park","jamaica bay park",0.851388888888889
"james finley walk",NA,NA
"jennifer's playground","jennifer's playground",1
"jerome park reservoir","jerome park",0.841269841269841
"jerome x o'donovan park",NA,NA
"jesse owens playground","jesse owens playground",1
"joe michaels mile",NA,NA
"john e. white park","john e. white park",1
"john golden park","john golden park",1
"john j carty park","john j carty park",1
"john jay park","john jay park",1
"john paul jones park","john paul jones park",1
"john v. lindsay east river park","john v. lindsay east river park",1
"jones woods park","jones woods park",1
"joseph manna park","joseph manna park",1
"joseph rodman drake park","joseph rodman drake park & enslaved african burial ground",0.807017543859649
"joyce kilmer park","joyce kilmer park",1
"judge moses weinstein playground","judge moses weinstein playground",1
"juniper valley park","juniper valley park",1
"kaiser park","kaiser park",1
"kelly park","alley park",0.896296296296296
"kennedy king playground","kennedy king playground",1
"kensington dog run",NA,NA
"king fisher park","king fisher park",1
"kingdom pond park","kingdom pond park",1
"kissena corridor park","kissena corridor park",1
"kissena park","kissena park",1
"kolbert playground","kolbert playground",1
"l/cpl thomas p. noonan jr. playground","l/cpl thomas p. noonan jr. playground",1
"laguardia landing lights","laguardia landing lights",1
"laredo avenue parcel","laredo avenue parcel",1
"latourette park","latourette park & golf course",0.839080459770115
"latourette park & golf course","latourette park & golf course",1
"lawrence virgilio playground","lawrence virgilio playground",1
"lefferts blvd and jamaica ave",NA,NA
"leif ericson park","leif ericson park",1
"lemon creek park","lemon creek park",1
"levy park","alley park",0.896296296296296
"lew fiddler park","bell tower park",0.794444444444444
"lew fidler park","bell tower park",0.811111111111111
"lincoln terrace / arthur s. somers park","lincoln terrace / arthur s. somers park",1
"lincoln terrace park","richmond terrace park",0.857096171802054
"linden park","linden park",1
"linnaeus park","linnaeus park",1
"little bay park","little bay park",1
"livonia park","livonia park",1
"locust manor playground","locust manor playground",1
"long island mews","long island mews",1
"loreto playground","loreto playground",1
"louis armstrong playground","louis armstrong playground",1
"lt. federico narvaez tot lot","lt. federico narvaez tot lot",1
"lt. frank mcconnell park","lt. frank mcconnell park",1
"lyons pool","lyons pool",1
"lyons pool recreation center","tony dapolito recreation center",0.794221907125133
"macdonald park","macdonald park",1
"macneil park","marconi park",0.888888888888889
"macombs dam park","macombs dam park",1
"madison square park","madison square park",1
"mafera park","mafera park",1
"magenta playground","magenta playground",1
"mall forty","mall forty two xlii",0.842105263157895
"manhattan beach","manhattan beach park",0.916666666666667
"manhattan beach park","manhattan beach park",1
"mannahatta park","manhattan beach park",0.838888888888889
"mapes pool","mapes pool",1
"marble hill playground","marble hill playground",1
"marco giovanelli playground","lawrence virgilio playground",0.811177248677249
"marconi park","marconi park",1
"marcus garvey park","marcus garvey park",1
"marcy playground","marcy playground",1
"maria hernandez park","maria hernandez park",1
"marie curie park","marie curie playground",0.87310606060606
"marine park","marine park",1
"marion hopkinson playground","marion hopkinson playground",1
"martin luther king jr. park","martin luther king jr. playground",0.916947250280584
"mary o'connor playground","mary o'connor playground",1
"matthews muliner playground","matthews muliner playground",1
"mccarren park","mccarren park",1
"mcgolrick park","mill rock park",0.821428571428571
"mckinley park","mckinley park",1
"mellet playground","mellett playground",0.981481481481482
"melrose commons park","melrose commons park",1
"mercer playground","mercer playground",1
"merriam playground","merriam playground",1
"midland beach","midland field",0.794871794871795
"midland field","midland field",1
"midland playground","midland playground",1
"mill pond park","mill pond park",1
"mitchel square","mitchel square",1
"mobilization for change community garden","mobilization for change",0.858333333333333
"montbellier park","montbellier park",1
"morningside park","morningside park",1
"mosholu parkway","mosholu parkway",1
"mosholu playground","mosholu playground",1
