original_park,matched_park,similarity,final_match
great kills park,great kills park,1,great kills park
great kills veterans playground,great kills veterans playground,1,great kills veterans playground
greeley square park,greeley square park,1,greeley square park
green central knoll,green central knoll,1,green central knoll
green street,green gems,0.780555556,na
green street arthur kill and woodrow road,NA,NA,freshkills park
green street at intersection of 120th street and marsden avenue,NA,NA,na
greenbelt native plant center,greenbelt native plant center,1,greenbelt native plant center
greenbelt nature center,greenbelt native plant center,0.847314438,greenbelt native plant center
greenbelt recreation center,greenbelt native plant center,0.782054259,greenbelt native plant center
greenbelt white trail,greenbelt native plant center,0.761129356,greenbelt native plant center
greencroft playground,greencroft playground,1,greencroft playground
greenstreet across 269 cambridge avenue,NA,NA,gaeta park
greenstreets between pacific avenue and beach road,NA,NA,na
grover cleveland playground,grover cleveland playground,1,grover cleveland playground
gun hill playground,gun hill playground,1,gun hill playground
haffen park,haffen park,1,haffen park
haggerty park,haggerty park,1,haggerty park
hallets cove park,hallets cove playground,0.878942882,hallets cove playground
hallets cove playground,hallets cove playground,1,hallets cove playground
hamilton fish park,hamilton fish park,1,hamilton fish park
hamilton fish recreation center,hamilton fish park,0.780839307,hamilton fish park
hands and heart community garden,6th st and ave b community garden,0.788545174,united community centers - e new york f*
harding park,harding park,1,harding park
harlem river park,harlem river park,1,harlem river park
harris park,harris park,1,harris park
harry maze playground,harry maze playground,1,harry maze playground
hart island,hart island,1,hart island
harvey park,harvey park,1,harvey park
henry chapin playgorund,harry chapin playground,0.894409938,harry chapin playground
henry hudson park,henry hudson park,1,henry hudson park
herbert von king park,herbert von king park,1,herbert von king park
hero park,hero park,1,hero park
hester st. playground,chester playground,0.917989418,sara d. roosevelt park
high bridge park recreation center basement,NA,NA,highbridge park
high line,the high line,0.823361823,the high line
high line park,city line park,0.857142857,the high line
high rock park,high rock park,1,high rock park
highbridge park,highbridge park,1,highbridge park
highbridge recreation center,highbridge park,0.751343101,highbridge park
highland park,highland park,1,highland park
highline,NA,NA,the high line
highline park,hines park,0.864102564,the high line
hill street community garden,java street community garden,0.904761905,na
hines park,hines park,1,hines park
hinton park,hinton park,1,hinton park
historic richmond town,NA,NA,latourette park & golf course
historic richmondtown,NA,NA,latourette park & golf course
