Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
6/23/21 16:45,6/24/21 8:00,Brooklyn,Sternberg Park,Inside locked athletic field under construction,Chukar,Other,Exotic,Healthy,6,Adult,Birds,311-06712416,ACC,6,FALSE,FALSE,,,FALSE,FALSE,163537
6/24/21 10:00,6/24/21 11:00,Bronx,Haffen Park,Haffen Pool,Sparrow,Central,Native,Healthy,1.75,Infant,Birds,311-06714879,Rehabilitator,4,FALSE,FALSE,,,FALSE,FALSE,
6/23/21 14:30,6/23/21 14:30,Bronx,Pelham Bay Park,Pelham Bay South,White-tailed Deer,Employee,Native,N/A,1,Juvenile,Deer,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/23/21 13:00,6/23/21 13:10,Staten Island,Willowbrook Park,The carousel,Raccoon,Employee,Native,N/A,2,Adult;#Juvenile,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/23/21 9:20,6/23/21 9:20,Queens,Judge Moses Weinstein Playground,Garbage can,Virginia Opossum,Central,Native,Healthy,2.25,Juvenile,Small Mammals-non RVS,311-06699415,ACC,1,FALSE,FALSE,,,FALSE,FALSE,119833
6/23/21 9:00,6/23/21 9:10,Staten Island,Clove Lakes Park,Martling Pond on shore,Domestic Duck,Employee,Domestic,Healthy,1.25,Adult,Domestic;#Birds,311-06700321,ACC,1,FALSE,FALSE,,,FALSE,FALSE,119822
6/23/21 5:30,6/23/21 8:20,Staten Island,Willowbrook Park,Pond,Canada Goose,Employee,Native,Injured,0.5,Juvenile,Birds,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/22/21 15:00,6/22/21 15:00,Queens,Travers Park,78th Street Plaza,Cat,Public,Domestic,Unhealthy,1,Adult,Domestic,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/22/21 15:30,6/22/21 15:30,Brooklyn,Prospect Park,V/O Drummers Circle,Dog,Employee,Domestic,Injured,0.5,Juvenile,Domestic,,ACC,1,TRUE,FALSE,,,FALSE,FALSE,
6/22/21 11:30,6/22/21 11:30,Manhattan,Highbridge Park,Coogan's Bluff Playground,Dog,Central,Domestic,N/A,0.75,Adult,Domestic,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/22/21 11:55,6/22/21 11:55,Queens,Forest Park,Giovanelli Playground,Eastern Rat Snake,Central,Native,Healthy,2,Juvenile,Terrestrial Reptile or Amphibian,311-06691186,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
6/22/21 12:00,6/22/21 12:00,Manhattan,Inwood Hill Park,214th and Seaman Ave,Eastern Gray Squirrel,Employee,Native,Injured,0.5,Adult,Small Mammals-non RVS,,Advised/Educated others,1,FALSE,TRUE,,0.5,FALSE,FALSE,
6/22/21 11:30,6/22/21 12:00,Brooklyn,Marine Park,Salt Marsh Nature Trail,Domestic Rabbit,Employee,Domestic,Healthy,2,Adult,Domestic,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/21/21 14:02,6/21/21 14:02,Queens,Queens Botanical Garden,Education building,Northern Cardinal,Central,Native,Injured,2.75,Juvenile,Birds,311-06682248,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
6/21/21 14:45,6/21/21 14:50,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,PEP Trailer,Mallard Duck,Employee,Native,Healthy,1.5,Infant,Birds,311-06684155,ACC,1,TRUE,FALSE,,,FALSE,FALSE,52440
6/21/21 8:50,6/21/21 15:50,Bronx,Van Cortlandt Park,Van Cortlandt Lake and its trails,Double-crested Cormorant,"Conservancies/""Friends of"" Groups",Native,Healthy,0.75,Adult,Birds,311-06684-300,Monitored Animal,1,FALSE,TRUE,,3,FALSE,FALSE,
6/21/21 9:20,6/21/21 12:00,Manhattan,Central Park,West 97 St entrance,Raccoon,Central,Native,Injured,0.5,Juvenile,Small Mammals-RVS,311- 06678452,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/21/21 8:50,6/21/21 9:05,Bronx,Van Cortlandt Park,Adjacent to Golf Clubhouse past golf cart parking,Double-crested Cormorant,"Conservancies/""Friends of"" Groups",Native,Injured,0.3,Adult,Birds,N/A,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/16/21 12:00,6/16/21 13:00,Brooklyn,Prospect Park,Prospect Lake near LeFrak Center,Domestic Duck,"Conservancies/""Friends of"" Groups",Domestic,Unhealthy,2,Adult,Domestic;#Birds,311-06621675,ACC,1,FALSE,FALSE,,,FALSE,FALSE,119360
6/20/21 9:00,6/20/21 15:00,Manhattan,Inwood Hill Park,Northwest edge of Gaelic Field,Common Snapping Turtle,Employee,Native,N/A,1,Adult,Terrestrial Reptile or Amphibian,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/19/21 9:00,6/19/21 10:00,Manhattan,Inwood Hill Park,Payson Visitor Center,Common Snapping Turtle,Employee,Native,Healthy,0.5,Adult,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,1,FALSE,TRUE,,0.5,FALSE,FALSE,
6/20/21 14:30,6/20/21 14:45,Queens,Udall's Park Preserve,Trail off of 247th St and 40th Ave,Chicken,Central,Domestic,Unhealthy,2,Adult,Domestic;#Birds,311-06668041,ACC,1,FALSE,FALSE,,,FALSE,FALSE,119706
6/19/21 14:00,6/19/21 15:00,Queens,Rockaway Beach and Boardwalk,On Beach 109th St,Dog,Central,Domestic,Healthy,3,Adult,Domestic,311-0665718,ACC,1,FALSE,FALSE,,,FALSE,FALSE,119644
6/19/21 9:15,6/19/21 9:15,Bronx,Van Cortlandt Park,Van Cortlandt Pool,Raccoon,Employee,Native,Healthy,0.5,Juvenile,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/18/21 16:00,6/18/21 16:05,Bronx,Crotona Park,Behind Crotona Park Nature Center,Argentine Black and White Tegu,Employee,Exotic,Unhealthy,10,Adult,Terrestrial Reptile or Amphibian,311-06646388,ACC,1,FALSE,FALSE,,,FALSE,FALSE,119570
6/17/21 15:40,6/17/21 15:40,Queens,Flushing Meadows Corona Park,Fountain of the Planets,Mallard Duck,Employee,Native,DOA,1.5,Adult,Birds,311-06634743,Submitted for DEC Testing,12,TRUE,FALSE,,,FALSE,FALSE,
6/17/21 8:00,6/17/21 10:00,Manhattan,Riverside Park,Entrance at Riverside Dr and West 108th St,Raccoon,Central,Native,Healthy,1,Juvenile,Small Mammals-RVS,311-06628837,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
6/17/21 10:00,6/17/21 10:00,Manhattan,William McCray Playground,playground cross street West 158th,American Kestrel,Central,Native,Injured,0.5,Juvenile,Raptors,311-06630118,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
6/16/21 17:20,6/16/21 17:20,Bronx,Van Cortlandt Park,Mosholu Avenue/ Broadway,Red-tailed Hawk,Employee,Native,Injured,2.5,Adult,Raptors,311-0662-4220,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
6/16/21 10:15,6/16/21 10:45,Brooklyn,Red Hook Recreation Area,Clinton Street south of Bay Street,Raccoon,Central,Native,Healthy,1,Juvenile,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/11/21 12:00,6/16/21 12:30,Brooklyn,Canarsie Park,By parkhouse,Cat,Employee,Domestic,Healthy,2,Adult,Domestic,311-06564233,ACC,1,FALSE,FALSE,,,FALSE,FALSE,
6/16/21 10:13,6/16/21 10:32,Manhattan,Central Park,Central Park Zoo,Raccoon,Employee,Native,Healthy,1,Infant,Small Mammals-RVS,,Relocated/Condition Corrected,2,FALSE,FALSE,,,FALSE,FALSE,
6/15/21 15:20,6/15/21 16:15,Queens,Rockaway Beach and Boardwalk,Beach 43rd Street,Dog,Central,Domestic,N/A,1.5,Adult,Domestic,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/15/21 8:30,6/15/21 15:00,Manhattan,Inwood Hill Park,Gaelic Field,Common Snapping Turtle,Employee,Native,Healthy,1,Adult,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
6/15/21 10:30,6/15/21 10:45,Brooklyn,Bensonhurst Park,Athletic Field,Canada Goose,Central,Native,Injured,1,Adult,Birds,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/14/21 15:30,6/14/21 15:45,Manhattan,Central Park,Central Park Arsenal,Domestic Duck,Central,Domestic,Healthy,2,Juvenile,Domestic;#Birds,311-06599987,ACC,1,FALSE,FALSE,,,FALSE,FALSE,119217
6/14/21 11:00,6/14/21 11:15,Brooklyn,Prospect Park,South shore of Lake,Canada Goose,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Birds,311-06598366,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
6/14/21 12:15,6/14/21 12:30,Brooklyn,Parade Ground,Erasmus Hall Educational Campus,Red-tailed Hawk,Central,Native,Healthy,1,Juvenile,Raptors,311-06597894,Advised/Educated others,1,FALSE,TRUE,,0.5,FALSE,FALSE,
6/13/21 14:10,6/13/21 14:12,Queens,Flushing Meadows Corona Park,Near the Queens Zoo,Rock Dove,Employee,Native,Injured,2.5,Adult,Birds,311-06588447,ACC,1,FALSE,FALSE,,,FALSE,FALSE,119146
6/13/21 13:59,6/13/21 14:05,Staten Island,Clove Lakes Park,Brooke's Pond,Catfish,Employee,Native,DOA,1,Adult;#Juvenile,Fish-numerous quantity,,Advised/Educated others,12,FALSE,FALSE,,,FALSE,FALSE,
6/13/21 10:30,6/13/21 11:39,Queens,Alley Pond Park,Oakland Lake,Red-Eared Slider,Central,Invasive,DOA,1,Adult,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
6/13/21 13:20,6/13/21 13:40,Queens,Highland Park,Path west of the Ridgewood Reservoir,Raccoon,Employee,Native,Healthy,1,Adult,Small Mammals-RVS,,Monitored Animal,1,FALSE,TRUE,,0.75,FALSE,FALSE,
6/13/21 10:00,6/13/21 10:00,Manhattan,Central Park,59th Street Pond near Gapstow Bridge,Common Snapping Turtle,Central,Native,Healthy,0.5,Adult,Terrestrial Reptile or Amphibian,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
6/12/21 12:00,6/12/21 13:10,Queens,Astoria Park,Hoyt Ave N and 19th Street,Red-tailed Hawk,Central,Native,Injured,3,Juvenile,Raptors,,Rehabilitator,1,FALSE,FALSE,Bobby Horvath,,TRUE,FALSE,
6/12/21 16:02,6/12/21 16:07,Manhattan,Riverside Park,79th St Boat Basin,Chicken,Employee,Domestic,Unhealthy,1.25,Adult,Domestic;#Birds,,ACC,1,TRUE,FALSE,,,FALSE,FALSE,162285
6/12/21 15:00,6/12/21 15:00,Staten Island,Lemon Creek Park,Rocks under bridge that is behind playground,Canada Goose,Observed by Ranger,Native,Healthy,0.1,Infant,Birds,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
6/12/21 12:45,6/12/21 13:55,Bronx,Bill Rainey Park,Bill Rainey Park Public Restrooms,Cat,Employee,Domestic,Healthy,0.5,Juvenile,Domestic,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
6/12/21 12:15,6/12/21 12:30,Bronx,Mullaly Park,Mullaly Park North Ballfields,Common Snapping Turtle,Employee,Native,Healthy,4,Adult,Terrestrial Reptile or Amphibian,311-06574202,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
6/11/21 13:30,6/11/21 13:30,Manhattan,Riverside Park,79th Street Boat Basin,Mallard Duck,Central,Native,Healthy,0.5,Adult,Birds,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
6/11/21 16:00,6/11/21 16:15,Bronx,Van Cortlandt Park,Van Cortlandt Park Lake by the golf house,Domestic Duck,Public,Domestic,Healthy,1,Juvenile,Domestic;#Birds,31106566589,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
6/11/21 15:30,6/11/21 15:30,Bronx,Van Cortlandt Park,Van Cortlandt House Museum,Bat (Unknown),"Conservancies/""Friends of"" Groups",Native,Healthy,0.25,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
6/10/21 14:05,6/10/21 15:22,Manhattan,Central Park,Hallett Nature Sanctuary,Common Snapping Turtle,Public,Native,Healthy,2,Adult,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,1,FALSE,TRUE,,1.5,FALSE,FALSE,
6/10/21 12:20,6/10/21 12:21,Manhattan,Central Park,Field outside the French Gardens in Conservatory Gardens,Red-Eared Slider,Public,Invasive,N/A,0.25,Adult,Terrestrial Reptile or Amphibian,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/10/21 17:00,6/10/21 17:30,Brooklyn,Flatbush and Tilden Avenues,By Kings Theater,Red-tailed Hawk,Public,Native,Injured,3,Adult,Raptors,311-06556493,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
6/10/21 17:50,6/10/21 17:54,Queens,Flushing Meadows Corona Park,Base of the Unisphere,Red-tailed Hawk,Central,Native,Injured,1.5,Juvenile,Raptors,311-06555702,Rehabilitator,1,FALSE,FALSE,Bobby Horvath,,FALSE,FALSE,
6/10/21 16:20,6/10/21 16:45,Staten Island,High Rock Park,Altamount House,Canada Goose,Employee,Native,Healthy,3,Infant,Birds,311-06555451,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
6/9/21 11:24,6/9/21 14:00,Queens,Alley Pond Park,Oakland Lake,Chicken,Central,Domestic,Healthy,1,Adult,Domestic;#Birds,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/9/21 12:00,6/9/21 12:30,Queens,406 Woodward Avenue,Found behind fence,American Kestrel,Public,Native,Injured,4,Juvenile,Raptors,311-06543897,Rehabilitator,1,FALSE,FALSE,Bobby Horvath,,FALSE,FALSE,
6/9/21 14:30,6/9/21 14:30,Brooklyn,Prospect Park,East Drive V/O Zucker Playground,Eastern Gray Squirrel,Public,Native,DOA,0.5,Adult,Small Mammals-non RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
6/8/21 11:44,6/8/21 12:00,Manhattan,West Harlem Piers,Marginal St and St Clare Pl,Chicken,Central,Domestic,Unhealthy,1,Infant,Birds,311-06529567,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
6/7/21 14:30,6/7/21 14:45,Brooklyn,Prospect Park,Near the Audubon Center,Common Grackle,Public,Native,Injured,2,Adult,Birds,311-06521707,ACC,1,FALSE,FALSE,,,FALSE,FALSE,118648
6/7/21 10:45,6/7/21 11:00,Brooklyn,Leif Ericson Park,3rd Ave,American Kestrel,Public,Native,Injured,1,Juvenile,Raptors,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/7/21 10:00,6/7/21 9:30,Brooklyn,Fort Greene Park,Washington and Willoughby,Canada Goose,Employee,Native,Injured,3,Adult,Birds,,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
6/5/21 22:50,6/7/21 10:45,Staten Island,Snug Harbor Cultural Center,Green/Boat Pond,Mallard Duck,Employee,Native,Injured,0.35,Adult,Birds,,Monitored Animal,1,FALSE,TRUE,,0.25,FALSE,FALSE,
6/7/21 9:00,6/7/21 10:00,Staten Island,Clove Lakes Park,Royal Oak Circle,Common Snapping Turtle,Employee,Native,Healthy,0.75,Adult,Terrestrial Reptile or Amphibian,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/6/21 10:58,6/6/21 11:00,Bronx,Bailey Playground,In the playground,Rock Dove,Central,Native,Healthy,0.75,Adult,Birds,,Monitored Animal,2,FALSE,FALSE,,,FALSE,FALSE,
6/6/21 13:00,6/6/21 13:10,Queens,Rockaway Beach and Boardwalk,Rockaway Beach 124th Street,Herring Gull,Central,Native,Injured,2.5,Adult,Birds,3-11-06505650,ACC,1,FALSE,FALSE,,,FALSE,FALSE,118580
1/4/21 13:30,1/4/21 13:40,Bronx,Crotona Park,Outside M&O Office,Cat,Employee,Domestic,Injured,0.5,Adult,Domestic,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/5/21 12:00,6/5/21 13:30,Queens,Rockaway Beach and Boardwalk,Beach 86th Street and Boardwalk,Laughing Gull,Employee,Native,Injured,3,Adult,Birds,311-06494215,ACC,1,FALSE,FALSE,,,FALSE,FALSE,118526
6/5/21 12:45,6/5/21 15:30,Manhattan,Riverside Park,West 79th inside park,Raccoon,Central,Native,Injured,1,Infant,Small Mammals-RVS,311-06491340,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/5/21 9:30,6/5/21 9:40,Bronx,Raoul Wallenberg Forest,Southwest Entrance,Raccoon,Central,Native,Injured,1,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/5/21 11:02,6/5/21 11:05,Queens,Rockaway Beach and Boardwalk,Boardwalk and B108th,Diamondback Terrapin,Employee,Native,Healthy,0.25,Infant,Terrestrial Reptile or Amphibian,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
6/5/21 8:45,6/5/21 9:30,Manhattan,Central Park,West 81st Street and Central Park West,Red-eared Slider,Central,Invasive,Injured,1.5,Adult,Terrestrial Reptile or Amphibian,311-06489753,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/4/21 12:00,6/4/21 12:00,Staten Island,Clove Lakes Park,Martling Ave and Slosson Ave,Raptor (Unknown),Central,Native,Unhealthy,1,Adult,Raptors,31106480251,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/4/21 10:25,6/4/21 12:00,Manhattan,Central Park,90th St by the Reservoir,Raccoon,Central,Native,Healthy,1,Infant,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/3/21 15:30,6/3/21 16:15,Brooklyn,Prospect Park,East Drive south of Zoo,Common Snapping Turtle,"Conservancies/""Friends of"" Groups",Native,Healthy,0.75,Adult,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,1,FALSE,TRUE,,0.5,FALSE,FALSE,
6/3/21 17:30,6/3/21 17:31,Queens,Forest Park,Skate Park,Blue Jay,Public,Native,Healthy,0.25,Infant,Birds,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
6/2/21 10:00,6/2/21 10:00,Bronx,Van Cortlandt Park,Van Cortlandt Nature Center,Barn Swallow,Observed by Ranger,Native,Healthy,2,Adult,Birds,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
6/2/21 13:00,6/2/21 13:00,Bronx,Van Cortlandt Park,Van Cortlandt Nature Center,Bird (Unknown),Public,N/A,N/A,0.25,Infant,Birds,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
6/3/21 13:00,6/3/21 13:15,Queens,Kissena Park,Kissena Lake,Mute Swan,Central,Invasive,Healthy,1.5,Adult,Birds,,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
6/3/21 9:15,6/3/21 11:00,Queens,Cunningham Park,"Garage, lawnmower area",Raccoon,Central,Native,Healthy,1,Adult,Small Mammals-RVS,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/3/21 9:45,6/3/21 10:00,Brooklyn,Prospect Park,Long Meadow,Wood Duck,"Conservancies/""Friends of"" Groups",Native,Healthy,1.5,Infant,Birds,311-064-72247,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
6/3/21 8:30,6/3/21 8:35,Queens,Juniper Valley Park,"40.71998157323772, -73.88377368998059     Running track",Raccoon,Central,Native,Injured,2.75,Adult,Small Mammals-RVS,311-06468820,ACC,1,FALSE,FALSE,,,FALSE,FALSE,118297
6/1/21 9:30,6/1/21 9:30,Staten Island,Wolfe's Pond Park,Near Acme Pond,Common Grackle,Employee,Native,Unhealthy,0.5,Adult,Birds,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/2/21 9:39,6/2/21 11:00,Staten Island,Clove Lakes Park,By the Basketball courts,Turtle (Unknown),Employee,N/A,Healthy,3.5,Adult,Terrestrial Reptile or Amphibian,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/2/21 11:30,6/2/21 11:30,Queens,Forest Park,Skate Park,Blue Jay,Employee,Native,Healthy,0.5,Infant,Birds,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
6/2/21 10:15,6/2/21 10:45,Staten Island,Freshkills Park,William T. Davis Wildlife Refuge,Spiny Softshell Turtle,Employee,Exotic,Healthy,5,Adult,Terrestrial Reptile or Amphibian,311-06462450,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
6/2/21 7:55,6/2/21 7:55,Queens,Fort Totten Park,Fort Totten Visitor Center,Warbling Vireo,Observed by Ranger,Native,Healthy,0.25,Adult,Birds,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
6/1/21 17:00,6/1/21 17:07,Queens,Flushing Meadows Corona Park,Marina Parking Lot,Raccoon,Employee,Native,Healthy,1.25,Infant,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
6/1/21 13:15,6/1/21 1:16,Bronx,Ranaqua Park,Ranaqua Garage,Cat,Employee,Domestic,Injured,2,Adult,Domestic,311-06451554,ACC,1,FALSE,FALSE,,,FALSE,FALSE,161016
6/1/21 15:00,6/1/21 15:00,Manhattan,Morningside Park,Barbecue Area #5,Snake (Unknown),Central,N/A,N/A,1,Infant,Terrestrial Reptile or Amphibian,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
6/1/21 15:30,6/1/21 15:30,Brooklyn,Marine Park,Salt Marsh Nature Center,Diamondback Terrapin,Public,Native,Healthy,0.5,Infant,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,3,FALSE,FALSE,,,FALSE,FALSE,
6/1/21 10:00,6/1/21 10:30,Manhattan,Inwood Hill Park,Outside the Inwood Hill Nature Center at 218 St,Red-tailed Hawk,Central,Native,Unhealthy,2.5,Adult,Raptors,311-06447131,Rehabilitator,1,FALSE,FALSE,Bobby Horvath,0.5,FALSE,FALSE,
5/31/21 9:30,5/31/21 9:34,Bronx,Bronx Park,By the playground off East 180th Street and Boston Road,Chicken,Central,Domestic,Healthy,1.5,Adult,Domestic;#Birds,311-06434744,ACC,3,FALSE,FALSE,,,FALSE,FALSE,160938
5/31/21 12:00,5/31/21 12:30,Bronx,Ranaqua Park,Bay 18,Cat,Central,Domestic,Injured,1,Adult,Domestic,,Advised/Educated others,0,FALSE,FALSE,,,FALSE,FALSE,
5/29/21 15:30,5/29/21 15:30,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,Midland Ave and Father Capodanno Blvd near PEP command,Brant Goose,Employee,Native,Unhealthy,1.5,Adult,Birds,311-06422979,ACC,1,FALSE,FALSE,,,FALSE,FALSE,117968
5/29/21 13:00,5/29/21 15:30,Manhattan,Central Park,West 79th and West Dr,Dog,"Conservancies/""Friends of"" Groups",Domestic,Healthy,2,Adult,Domestic,311-06422998,ACC,3,FALSE,FALSE,,,FALSE,FALSE,160841
5/29/21 10:57,5/28/21 11:08,Manhattan,Central Park,Conservatory Waters,Mallard Duck,Public,Native,Injured,1,Infant,Birds,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
5/28/21 9:15,5/28/21 9:30,Brooklyn,Prospect Park,The Boathouse by the boat ramp,Mute Swan,Public,Invasive,Injured,1,Adult,Birds,311-06412112,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
5/28/21 14:00,5/28/21 14:00,Manhattan,Othmar Ammann Playground,Oak Hydrana shrubs close to 1st Ave,Dog,Public,Domestic,Healthy,3,Adult,Domestic,311-06415795,ACC,3,FALSE,FALSE,,,FALSE,FALSE,160759
5/28/21 17:00,5/28/21 17:00,Manhattan,Inwood Hill Park,Payson Playground,House Sparrow,Public,Native,Injured,0.5,Adult,Birds,,Monitored Animal,1,FALSE,TRUE,,0.5,FALSE,FALSE,
5/28/21 13:00,5/28/21 13:30,Manhattan,Inwood Hill Park,Gaelic Field,Red-tailed Hawk,Central,Native,Injured,1,Adult,Raptors,311-06414159,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
5/28/21 11:30,5/28/21 12:00,Manhattan,Fort Tryon Park,Field by Met Cloisters,American Robin,Employee,Native,Unhealthy,1,Juvenile,Birds,,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
5/27/21 11:00,5/28/21 11:00,Brooklyn,Prospect Park,Duck Island,Canada Goose,Central,Native,Injured,1,Adult,Birds,,Monitored Animal,1,FALSE,TRUE,,0.5,FALSE,FALSE,
5/26/21 16:30,5/26/21 16:30,Manhattan,Central Park,Field near 65th St,Rock Dove,Public,Native,Injured,0.5,Adult,Birds,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
5/27/21 8:30,5/27/21 8:30,Manhattan,Riverside Park,Elington in the Park,Dog,Central,Domestic,Injured,0.5,Juvenile,Domestic,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
5/27/21 8:30,5/27/21 8:30,Bronx,Van Cortlandt Park,Barbecue area at 241st street,Raccoon,Employee,Native,Healthy,0.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,2,FALSE,FALSE,,,FALSE,FALSE,
5/27/21 8:30,5/27/21 8:30,Staten Island,Blue Heron Park,Poillon Avenue main entrance,Eastern Box Turtle,Observed by Ranger,Native,Healthy,0.25,Adult,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
5/26/21 16:30,5/26/21 16:45,Brooklyn,Red Hook Recreation Area,V/O Columbia Street Entrance,Bird (Unknown),Central,N/A,Injured,1,Adult,Birds,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
5/26/21 0:00,5/26/21 13:00,Manhattan,Inwood Hill Park,Muscota Marsh,Canada Goose,Central,Native,Injured,1,Adult,Birds,,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
5/26/21 12:30,5/26/21 13:30,Manhattan,Riverside Park,79th Street Boat Basin,Canada Goose,Central,Native,Healthy,0.5,Adult,Birds,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
5/26/21 11:00,5/26/21 12:00,Manhattan,Madison Square Park,North of Ferrgut Statue,Eastern Gray Squirrel,Central,Native,Unhealthy,0.5,Adult,Small Mammals-non RVS,311-06391894,Unfounded,0,FALSE,FALSE,,,FALSE,FALSE,
5/26/21 12:00,5/26/21 12:03,Bronx,Van Cortlandt Park,Field behind nature center,Red-Eared Slider,Employee,Invasive,Healthy,0.25,Adult,Marine Reptiles,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
5/26/21 9:20,5/26/21 9:22,Bronx,Van Cortlandt Park,Meadow behind VC House,Bearded Dragon,Employee,Exotic,Healthy,1,Adult,Terrestrial Reptile or Amphibian,311-06391739,ACC,1,FALSE,FALSE,,,FALSE,FALSE,160466
